IPK,Semester,Jurusan,Pernah_Mengulang,Pendapatan_Orang_Tua,Pekerjaan_Orang_Tua,Jumlah_Tanggungan,Status_Tempat_Tinggal,Asal_Daerah,Aktif_Organisasi,Jumlah_Kegiatan_Relawan,Pengalaman_Magang,Skor_Motivasi_Tertulis,Surat_Rekomendasi,Pernah_Mendapat_Beasiswa,Skor_Keaktifan_Kampus,Rekam_Ketidakhadiran,Pernah_Melawan_Hukum,Jenis_Kelamin,Skor_Literasi_Finansial,Status_Kelayakan,Jumlah_Beasiswa_Per_Semester
3.7,2,sastra,tidak,1793020,karyawan swasta,4,menumpang,pedesaan,ya,4,ya,60,tidak,ya,86,3,tidak,laki-laki,5,layak,2103079
3.3,4,teknik informatika,tidak,6925329,pedagang,2,milik sendiri,pedesaan,tidak,5,tidak,64,tidak,ya,76,10,tidak,laki-laki,73,tidak layak,0
3.32,6,manajemen,tidak,1383692,pedagang,2,menumpang,perkotaan,tidak,0,tidak,68,tidak,tidak,55,17,tidak,perempuan,25,tidak layak,0
2.77,5,sastra,tidak,4569884,karyawan swasta,3,menumpang,perkotaan,tidak,1,tidak,84,ada,ya,50,13,ya,perempuan,81,tidak layak,0
3.14,1,pendidikan,ya,6812844,tidak bekerja,6,menumpang,pedesaan,ya,1,tidak,53,ada,tidak,55,1,tidak,perempuan,89,tidak layak,0
3.33,6,pertanian,tidak,1924426,buruh,1,menumpang,3t,tidak,0,tidak,53,tidak,ya,65,9,tidak,perempuan,50,tidak layak,0
2.9,6,pendidikan,tidak,4419346,petani,2,milik sendiri,perkotaan,ya,1,ya,78,tidak,tidak,76,3,tidak,laki-laki,57,tidak layak,0
3.1,5,pertanian,tidak,2511815,petani,2,menumpang,pedesaan,tidak,4,ya,70,ada,ya,95,7,tidak,perempuan,65,tidak layak,0
3.59,1,sastra,tidak,3417016,petani,4,kontrak,pedesaan,ya,0,tidak,100,ada,ya,50,1,tidak,laki-laki,16,layak,3662060
3.46,7,pendidikan,tidak,1909947,buruh,5,kontrak,perkotaan,ya,0,ya,91,tidak,ya,55,10,tidak,perempuan,6,tidak layak,0
3.75,3,ekonomi,tidak,7126978,karyawan swasta,1,kontrak,perkotaan,ya,1,tidak,67,tidak,tidak,59,1,tidak,laki-laki,82,tidak layak,0
2.51,5,pertanian,tidak,9739022,karyawan swasta,1,milik sendiri,pedesaan,ya,1,tidak,83,ada,ya,74,11,tidak,perempuan,44,tidak layak,0
3.33,5,hukum,tidak,2014267,petani,2,menumpang,pedesaan,ya,0,ya,89,ada,ya,71,5,tidak,perempuan,7,layak,2183818
3.35,3,hukum,tidak,9329762,tidak bekerja,3,milik sendiri,pedesaan,tidak,3,tidak,71,tidak,tidak,58,5,tidak,perempuan,81,tidak layak,0
3.19,8,pendidikan,ya,9928414,wirausaha,5,kontrak,pedesaan,ya,1,ya,96,tidak,ya,61,0,tidak,perempuan,98,tidak layak,0
3.35,1,hukum,tidak,4206007,wirausaha,5,milik sendiri,perkotaan,ya,5,ya,72,tidak,ya,90,2,tidak,perempuan,57,tidak layak,0
2.82,1,sastra,tidak,1637407,pegawai negeri,3,milik sendiri,perkotaan,ya,3,tidak,60,tidak,tidak,74,11,tidak,laki-laki,61,tidak layak,0
3.17,4,hukum,tidak,1060573,pegawai negeri,1,kontrak,pedesaan,ya,2,ya,74,ada,ya,85,2,tidak,perempuan,90,layak,2259989
3.58,7,hukum,tidak,7784673,pedagang,1,milik sendiri,pedesaan,tidak,3,tidak,96,tidak,tidak,69,7,tidak,perempuan,73,tidak layak,0
2.87,8,hukum,ya,564014,karyawan swasta,1,kontrak,perkotaan,tidak,3,ya,51,ada,ya,90,9,tidak,perempuan,14,tidak layak,0
2.98,5,ekonomi,tidak,4946036,petani,6,menumpang,pedesaan,ya,3,ya,78,ada,tidak,78,14,tidak,perempuan,72,layak,2517068
2.63,3,manajemen,ya,6267862,tidak bekerja,5,kontrak,perkotaan,ya,4,ya,74,tidak,tidak,86,7,tidak,laki-laki,50,tidak layak,0
3.12,1,hukum,ya,8033636,pedagang,2,milik sendiri,perkotaan,ya,3,ya,93,tidak,ya,90,4,tidak,perempuan,40,tidak layak,0
